"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"754",2,1988,21988,2.346624934,2.047434197,2.735651753,1.971744088,3.031159604,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37577073287466,2.06455199565029,2.75428921805358,1.93379869454735,3.04484895903882
"755",2,1989,21989,2.338936452,2.047956886,2.723588929,1.973399571,3.04473816,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37790604195117,2.06398920081046,2.76775124599709,1.92083579125431,3.03454066051167
"756",2,1990,21990,2.33632502,2.049469632,2.706488474,1.973992683,3.020960399,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37459148815801,2.05778145512547,2.75815786065515,1.92706117549702,3.0474456598859
"757",2,1991,21991,2.33957889,2.048051529,2.717069746,1.973892084,3.024937587,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37551529554579,2.06358666084309,2.7484534941571,1.92950897012488,3.05843998916686
"758",2,1992,21992,2.344701264,2.046664678,2.727275597,1.97232969,3.023381167,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37172030444934,2.06593033858668,2.7483360070173,1.92887539588314,3.0296491663636
"759",2,1993,21993,2.334418228,2.042964455,2.703094447,1.972062949,3.003908954,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37391820126664,2.06080044484283,2.74696587629574,1.92346138992574,3.05954092789171
"760",2,1994,21994,2.329446303,2.050940881,2.694261082,1.976477848,3.006133669,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37543905637034,2.06438965180354,2.76205671225887,1.92692728903486,3.05663019052999
"761",2,1995,21995,2.331990696,2.049315209,2.697332623,1.977620219,2.981022463,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37493045740048,2.06607373156719,2.76827360226573,1.90939541910501,3.07382055536896
"762",2,1996,21996,2.340068186,2.050309325,2.695678959,1.97734735,3.007794716,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.36987263069296,2.05003438439446,2.74691327416027,1.90041508331103,3.05612268364171
"763",2,1997,21997,2.335741361,2.047677044,2.698602696,1.977458988,2.997708404,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37408046891835,2.06524673177348,2.74473834221339,1.94036814083548,3.04157656459847
"764",2,1998,21998,2.33673921,2.048546221,2.713040429,1.973113317,3.027320632,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37163392340473,2.06480331092006,2.75380540475121,1.92329219455276,3.00680716519287
"765",2,1999,21999,2.336184671,2.049194172,2.702059842,1.975251294,3.029384423,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37688471743019,2.06229505633022,2.75317954606815,1.92298837385432,3.06588298631533
"766",2,2000,22000,2.32980277,2.0535423,2.687864141,1.988464689,2.988782218,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37626038241029,2.05903996830202,2.76851228297107,1.92516560679299,3.05482950779078
"767",2,2001,22001,2.332669224,2.047021149,2.706179292,1.974414131,3.031416363,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37056989175682,2.06731175912792,2.73422601601131,1.94462541235835,3.01709267057571
"768",20,1938,201938,0.676357518,0.39797277,0.960952667,0.276543903,1.098871615,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.656241805883837,0.377442527868397,0.979938030874654,0.302521824331836,1.1754460262948
"769",20,1939,201939,0.67188645,0.399760178,0.951072645,0.265426495,1.117117321,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.656271259520129,0.377840717849133,0.975018163685521,0.304529342092789,1.17772450399032
"770",20,1940,201940,0.67464745,0.40686996,0.952321005,0.281763554,1.107928774,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.653447393582008,0.37442951000768,0.972031997637411,0.29732913397318,1.17999913427878
"771",20,1941,201941,0.675015694,0.399181174,0.960984698,0.268046208,1.146543327,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.660109025226856,0.378831334233708,0.985223506278478,0.302083604974092,1.19596229125961
"772",20,1942,201942,0.669612948,0.396569484,0.942809405,0.273653121,1.106415794,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.658371370489047,0.37136858438288,0.979816567761698,0.300572206011636,1.18780037924181
"773",20,1943,201943,0.675873206,0.400444119,0.968330244,0.26749429,1.128631127,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.656127825458085,0.37780337026476,0.978516875458578,0.307307888034749,1.17780426295442
"774",20,1944,201944,0.922598112,0.616772597,1.2368148,0.459596666,1.396317769,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.85861566258464,0.496097999663566,1.25170442659939,0.36951469712539,1.48560975190507
"775",20,1945,201945,0.921322081,0.623169879,1.223282954,0.474266561,1.378421018,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.857864923685217,0.492901779215106,1.25056011916101,0.360893887073598,1.47854823239839
"776",20,1946,201946,0.922188666,0.620625423,1.232102676,0.465402338,1.395410535,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.862922963788255,0.490815387347095,1.25433026669392,0.364396100209245,1.47530713590658
"777",20,1947,201947,1.179361462,0.874742575,1.473401388,0.724871838,1.602990818,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27648632653403,0.849190699790175,1.70022408701466,0.639879004059051,1.89810814138094
"778",20,1948,201948,1.182829598,0.885409585,1.467834663,0.724150977,1.590764042,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1.27374016666162,0.848773466249515,1.69481926254571,0.638705745500403,1.89538814772083
